country,year,treatment,control,decade,idio,herf,cov,gsect,cnt,N,isect
"Algeria",1970,0,1,1970,.0035117,.1759843,-.0143718,.012254,.0191992,9,.0199544
"Algeria",1971,0,1,1970,.0029124,.1677543,-.0138553,.0115594,.0191992,9,.017361
"Algeria",1972,0,1,1970,.0035823,.1773943,-.0147118,.0124914,.0191992,9,.0201941
"Algeria",1973,0,1,1970,.0043496,.1908918,-.0154736,.0134281,.0191992,9,.0227859
"Algeria",1974,0,1,1970,.0079451,.2777035,-.0173133,.0163719,.0191992,9,.0286101
"Algeria",1975,0,1,1970,.0057382,.225303,-.0160921,.014515,.0191992,9,.0254687
"Algeria",1976,0,1,1970,.0061534,.2328836,-.0165463,.0149914,.0191992,9,.0264226
"Algeria",1977,0,1,1970,.0062464,.2355137,-.0167124,.0151262,.0191992,9,.0265226
"Algeria",1978,0,1,1970,.0051616,.2108267,-.0162231,.0142407,.0191992,9,.0244825
"Algeria",1979,0,1,1970,.0057421,.2250753,-.0165369,.0147905,.0191992,9,.0255121
"Algeria",1980,0,1,1980,.0010336,.2421298,-.0093529,.0154315,.0112057,10,.0042689
"Algeria",1981,0,1,1980,.0010113,.2359467,-.0092518,.0152173,.0112057,10,.0042863
"Algeria",1982,0,1,1980,.0009454,.2241996,-.0090986,.0148763,.0112057,10,.0042166
"Algeria",1983,0,1,1980,.0009134,.2183643,-.0090223,.0147448,.0112057,10,.0041829
"Algeria",1984,0,1,1980,.000882,.211561,-.0089306,.0146284,.0112057,10,.0041691
"Algeria",1985,0,1,1980,.0008502,.2023865,-.0087439,.0142209,.0112057,10,.0042008
"Algeria",1986,0,1,1980,.0007234,.1749252,-.0080899,.0130541,.0112057,10,.0041353
"Algeria",1987,0,1,1980,.0007475,.1764233,-.008067,.0129435,.0112057,10,.0042367
"Algeria",1988,0,1,1980,.0007588,.1763315,-.0080282,.0128211,.0112057,10,.0043034
"Algeria",1989,0,1,1980,.0007763,.1795042,-.0080361,.0126931,.0112057,10,.0043246
"Algeria",1990,0,1,1990,.0026213,.1964771,.0004086,.0135396,.0189645,10,.0133416
"Algeria",1991,0,1,1990,.003103,.2168208,.0005012,.0144648,.0189645,10,.0143112
"Algeria",1992,0,1,1990,.0026535,.1977542,.0004746,.0134814,.0189645,10,.013418
"Algeria",1993,0,1,1990,.0023896,.1887138,.0002913,.0130634,.0189645,10,.0126624
"Algeria",1994,0,1,1990,.0024984,.1941861,.0002426,.013381,.0189645,10,.0128662
"Algeria",1995,0,1,1990,.0027439,.2042421,.0003624,.013734,.0189645,10,.0134348
"Algeria",1996,0,1,1990,.0030512,.2160417,.000587,.0140634,.0189645,10,.0141232
"Algeria",1997,0,1,1990,.0031873,.2225299,.0005338,.0144617,.0189645,10,.0143231
"Algeria",1998,0,1,1990,.0024712,.1898059,.0003979,.0131187,.0189645,10,.0130196
"Algeria",1999,0,1,1990,.0028755,.2068888,.0005579,.0137824,.0189645,10,.0138985
"Algeria",2000,0,1,2000,.0011717,.2698444,.0039397,.0159451,.002558,10,.0043421
"Algeria",2001,0,1,2000,.0009826,.2355093,.0038771,.0148138,.002558,10,.004172
"Algeria",2002,0,1,2000,.0009479,.2296814,.003885,.01467,.002558,10,.0041272
"Algeria",2003,0,1,2000,.0010424,.2446834,.003892,.0150933,.002558,10,.00426
"Algeria",2004,0,1,2000,.0011225,.2578273,.0039379,.0155453,.002558,10,.0043536
"Algeria",2005,0,1,2000,.0013655,.303233,.0039977,.0169167,.002558,10,.0045031
"Algeria",2006,0,1,2000,.0013982,.3089079,.0040162,.017093,.002558,10,.0045262
"Algeria",2007,0,1,2000,.0013159,.2937925,.0040139,.0166949,.002558,10,.0044791
"Algeria",2008,0,1,2000,.0013594,.3018641,.0040093,.0169002,.002558,10,.0045033
"Algeria",2009,0,1,2000,.0013574,.3014312,.0040131,.0168948,.002558,10,.0045033
"Bahrain",1970,1,0,1970,.0035414,.2377849,-.0020798,.014388,.0140701,9,.0148934
"Bahrain",1971,1,0,1970,.0035112,.2363556,-.0020608,.0143227,.0140701,9,.0148555
"Bahrain",1972,1,0,1970,.0035925,.240259,-.0021133,.0144876,.0140701,9,.0149528
"Bahrain",1973,1,0,1970,.0035234,.236846,-.0020655,.0143552,.0140701,9,.0148765
"Bahrain",1974,1,0,1970,.0034304,.23241,-.0020042,.0141315,.0140701,9,.0147601
"Bahrain",1975,1,0,1970,.0039014,.2542607,-.0022745,.0150164,.0140701,9,.015344
"Bahrain",1976,1,0,1970,.0033543,.2280464,-.0019256,.0139809,.0140701,9,.0147089
